2020-09-13 09:38:49 status unpacked findutils:arm64 4.7.0-1
2020-09-13 09:38:49 install gcc-10-base:arm64 <none> 10.2.0-5
2020-09-13 09:38:49 status half-installed gcc-10-base:arm64 10.2.0-5
2020-09-13 09:38:49 status unpacked gcc-10-base:arm64 10.2.0-5
2020-09-13 09:38:49 install gcc-9-base:arm64 <none> 9.3.0-15
2020-09-13 09:38:49 status half-installed gcc-9-base:arm64 9.3.0-15
2020-09-13 09:38:49 status unpacked gcc-9-base:arm64 9.3.0-15
2020-09-13 09:38:49 install gpgv:arm64 <none> 2.2.20-1
2020-09-13 09:38:49 status half-installed gpgv:arm64 2.2.20-1
2020-09-13 09:38:50 status unpacked gpgv:arm64 2.2.20-1
2020-09-13 09:38:50 install grep:arm64 <none> 3.4-1
2020-09-13 09:38:50 status half-installed grep:arm64 3.4-1
2020-09-13 09:38:50 status unpacked grep:arm64 3.4-1
2020-09-13 09:38:50 install gzip:arm64 <none> 1.10-2
2020-09-13 09:38:50 status half-installed gzip:arm64 1.10-2
2020-09-13 09:38:50 status unpacked gzip:arm64 1.10-2
2020-09-13 09:38:51 install hostname:arm64 <none> 3.23
2020-09-13 09:38:51 status half-installed hostname:arm64 3.23
2020-09-13 09:38:51 status unpacked hostname:arm64 3.23
2020-09-13 09:38:51 install init-system-helpers:all <none> 1.58+kali1
2020-09-13 09:38:51 status half-installed init-system-helpers:all 1.58+kali1
2020-09-13 09:38:51 status unpacked init-system-helpers:all 1.58+kali1
2020-09-13 09:38:51 install libacl1:arm64 <none> 2.2.53-8
2020-09-13 09:38:51 status half-installed libacl1:arm64 2.2.53-8
2020-09-13 09:38:51 status unpacked libacl1:arm64 2.2.53-8
2020-09-13 09:38:51 install libapt-pkg6.0:arm64 <none> 2.1.10
2020-09-13 09:38:51 status half-installed libapt-pkg6.0:arm64 2.1.10
2020-09-13 09:38:52 status unpacked libapt-pkg6.0:arm64 2.1.10
2020-09-13 09:38:52 install libattr1:arm64 <none> 1:2.4.48-5
2020-09-13 09:38:52 status half-installed libattr1:arm64 1:2.4.48-5
2020-09-13 09:38:52 status unpacked libattr1:arm64 1:2.4.48-5
2020-09-13 09:38:52 install libaudit-common:all <none> 1:2.8.5-3
2020-09-13 09:38:52 status half-installed libaudit-common:all 1:2.8.5-3
2020-09-13 09:38:52 status unpacked libaudit-common:all 1:2.8.5-3
2020-09-13 09:38:52 install libaudit1:arm64 <none> 1:2.8.5-3+b1
2020-09-13 09:38:52 status half-installed libaudit1:arm64 1:2.8.5-3+b1
2020-09-13 09:38:53 status unpacked libaudit1:arm64 1:2.8.5-3+b1
2020-09-13 09:38:53 install libblkid1:arm64 <none> 2.36-3
2020-09-13 09:38:53 status half-installed libblkid1:arm64 2.36-3
2020-09-13 09:38:53 status unpacked libblkid1:arm64 2.36-3
2020-09-13 09:38:53 install libbz2-1.0:arm64 <none> 1.0.8-4
2020-09-13 09:38:53 status half-installed libbz2-1.0:arm64 1.0.8-4
2020-09-13 09:38:53 status unpacked libbz2-1.0:arm64 1.0.8-4
2020-09-13 09:38:53 install libc-bin:arm64 <none> 2.31-2
2020-09-13 09:38:53 status half-installed libc-bin:arm64 2.31-2
2020-09-13 09:38:54 status unpacked libc-bin:arm64 2.31-2
2020-09-13 09:38:54 upgrade libc6:arm64 2.31-2 2.31-2
2020-09-13 09:38:54 status half-configured libc6:arm64 2.31-2
2020-09-13 09:38:54 status unpacked libc6:arm64 2.31-2
2020-09-13 09:38:54 status half-installed libc6:arm64 2.31-2
2020-09-13 09:38:56 status unpacked libc6:arm64 2.31-2
2020-09-13 09:38:57 install libcap-ng0:arm64 <none> 0.7.9-2.2
2020-09-13 09:38:57 status half-installed libcap-ng0:arm64 0.7.9-2.2
2020-09-13 09:38:58 status unpacked libcap-ng0:arm64 0.7.9-2.2
2020-09-13 09:39:00 install libcom-err2:arm64 <none> 1.45.6-1
2020-09-13 09:39:00 status half-installed libcom-err2:arm64 1.45.6-1
2020-09-13 09:39:00 status unpacked libcom-err2:arm64 1.45.6-1
2020-09-13 09:39:00 install libcrypt1:arm64 <none> 1:4.4.17-1
2020-09-13 09:39:00 status half-installed libcrypt1:arm64 1:4.4.17-1
2020-09-13 09:39:00 status unpacked libcrypt1:arm64 1:4.4.17-1
2020-09-13 09:39:00 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.6
2020-09-13 09:39:00 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.6
2020-09-13 09:39:00 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.6
2020-09-13 09:39:01 install libdebconfclient0:arm64 <none> 0.253
2020-09-13 09:39:01 status half-installed libdebconfclient0:arm64 0.253
2020-09-13 09:39:01 status unpacked libdebconfclient0:arm64 0.253
2020-09-13 09:39:01 install libext2fs2:arm64 <none> 1.45.6-1
2020-09-13 09:39:01 status half-installed libext2fs2:arm64 1.45.6-1
2020-09-13 09:39:01 status unpacked libext2fs2:arm64 1.45.6-1
2020-09-13 09:39:01 install libffi7:arm64 <none> 3.3-4
2020-09-13 09:39:01 status half-installed libffi7:arm64 3.3-4
2020-09-13 09:39:01 status unpacked libffi7:arm64 3.3-4
2020-09-13 09:39:02 install libgcc-s1:arm64 <none> 10.2.0-5
2020-09-13 09:39:02 status half-installed libgcc-s1:arm64 10.2.0-5
2020-09-13 09:39:02 status unpacked libgcc-s1:arm64 10.2.0-5
2020-09-13 09:39:02 install libgcrypt20:arm64 <none> 1.8.6-2
2020-09-13 09:39:02 status half-installed libgcrypt20:arm64 1.8.6-2
2020-09-13 09:39:02 status unpacked libgcrypt20:arm64 1.8.6-2
2020-09-13 09:39:02 install libgmp10:arm64 <none> 2:6.2.0+dfsg-6
2020-09-13 09:39:02 status half-installed libgmp10:arm64 2:6.2.0+dfsg-6
2020-09-13 09:39:02 status unpacked libgmp10:arm64 2:6.2.0+dfsg-6
2020-09-13 09:39:03 install libgnutls30:arm64 <none> 3.6.14-2+b1
2020-09-13 09:39:03 status half-installed libgnutls30:arm64 3.6.14-2+b1
2020-09-13 09:39:03 status unpacked libgnutls30:arm64 3.6.14-2+b1
2020-09-13 09:39:03 install libgpg-error0:arm64 <none> 1.38-2
2020-09-13 09:39:03 status half-installed libgpg-error0:arm64 1.38-2
2020-09-13 09:39:03 status unpacked libgpg-error0:arm64 1.38-2
2020-09-13 09:39:03 install libhogweed6:arm64 <none> 3.6-2
2020-09-13 09:39:03 status half-installed libhogweed6:arm64 3.6-2
2020-09-13 09:39:04 status unpacked libhogweed6:arm64 3.6-2
2020-09-13 09:39:04 install libidn2-0:arm64 <none> 2.3.0-1
2020-09-13 09:39:04 status half-installed libidn2-0:arm64 2.3.0-1
2020-09-13 09:39:04 status unpacked libidn2-0:arm64 2.3.0-1
2020-09-13 09:39:04 install liblz4-1:arm64 <none> 1.9.2-2
2020-09-13 09:39:04 status half-installed liblz4-1:arm64 1.9.2-2
2020-09-13 09:39:04 status unpacked liblz4-1:arm64 1.9.2-2
2020-09-13 09:39:04 install liblzma5:arm64 <none> 5.2.4-1+b1
2020-09-13 09:39:04 status half-installed liblzma5:arm64 5.2.4-1+b1
2020-09-13 09:39:05 status unpacked liblzma5:arm64 5.2.4-1+b1
2020-09-13 09:39:05 install libmount1:arm64 <none> 2.36-3
2020-09-13 09:39:05 status half-installed libmount1:arm64 2.36-3
2020-09-13 09:39:05 status unpacked libmount1:arm64 2.36-3
2020-09-13 09:39:05 install libnettle8:arm64 <none> 3.6-2
2020-09-13 09:39:05 status half-installed libnettle8:arm64 3.6-2
2020-09-13 09:39:05 status unpacked libnettle8:arm64 3.6-2
2020-09-13 09:39:05 install libp11-kit0:arm64 <none> 0.23.21-2
2020-09-13 09:39:05 status half-installed libp11-kit0:arm64 0.23.21-2
2020-09-13 09:39:06 status unpacked libp11-kit0:arm64 0.23.21-2
2020-09-13 09:39:06 install libpam-modules:arm64 <none> 1.3.1-5
2020-09-13 09:39:06 status half-installed libpam-modules:arm64 1.3.1-5
2020-09-13 09:39:07 status unpacked libpam-modules:arm64 1.3.1-5
2020-09-13 09:39:07 install libpam-modules-bin:arm64 <none> 1.3.1-5
2020-09-13 09:39:07 status half-installed libpam-modules-bin:arm64 1.3.1-5
2020-09-13 09:39:07 status unpacked libpam-modules-bin:arm64 1.3.1-5
2020-09-13 09:39:07 install libpam-runtime:all <none> 1.3.1-5
2020-09-13 09:39:07 status half-installed libpam-runtime:all 1.3.1-5
2020-09-13 09:39:08 status unpacked libpam-runtime:all 1.3.1-5
2020-09-13 09:39:08 install libpam0g:arm64 <none> 1.3.1-5
2020-09-13 09:39:08 status half-installed libpam0g:arm64 1.3.1-5
2020-09-13 09:39:08 status unpacked libpam0g:arm64 1.3.1-5
2020-09-13 09:39:08 install libpcre2-8-0:arm64 <none> 10.34-7
2020-09-13 09:39:08 status half-installed libpcre2-8-0:arm64 10.34-7
2020-09-13 09:39:08 status unpacked libpcre2-8-0:arm64 10.34-7
2020-09-13 09:39:08 install libpcre3:arm64 <none> 2:8.39-13
2020-09-13 09:39:08 status half-installed libpcre3:arm64 2:8.39-13
2020-09-13 09:39:09 status unpacked libpcre3:arm64 2:8.39-13
2020-09-13 09:39:09 install libseccomp2:arm64 <none> 2.4.3-1+b1
2020-09-13 09:39:09 status half-installed libseccomp2:arm64 2.4.3-1+b1
2020-09-13 09:39:09 status unpacked libseccomp2:arm64 2.4.3-1+b1
2020-09-13 09:39:09 install libselinux1:arm64 <none> 3.1-2
2020-09-13 09:39:09 status half-installed libselinux1:arm64 3.1-2
2020-09-13 09:39:09 status unpacked libselinux1:arm64 3.1-2
2020-09-13 09:39:09 install libsemanage-common:all <none> 3.1-1
2020-09-13 09:39:09 status half-installed libsemanage-common:all 3.1-1
2020-09-13 09:39:09 status unpacked libsemanage-common:all 3.1-1
2020-09-13 09:39:10 install libsemanage1:arm64 <none> 3.1-1
2020-09-13 09:39:10 status half-installed libsemanage1:arm64 3.1-1
2020-09-13 09:39:10 status unpacked libsemanage1:arm64 3.1-1
2020-09-13 09:39:10 install libsepol1:arm64 <none> 3.1-1
2020-09-13 09:39:10 status half-installed libsepol1:arm64 3.1-1
2020-09-13 09:39:10 status unpacked libsepol1:arm64 3.1-1
