2020-09-13 10:31:11 startup archives install
2020-09-13 10:31:11 install base-passwd:arm64 <none> 3.5.47
2020-09-13 10:31:11 status half-installed base-passwd:arm64 3.5.47
2020-09-13 10:31:12 status unpacked base-passwd:arm64 3.5.47
2020-09-13 10:31:12 configure base-passwd:arm64 3.5.47 3.5.47
2020-09-13 10:31:12 status half-configured base-passwd:arm64 3.5.47
2020-09-13 10:31:13 status installed base-passwd:arm64 3.5.47
2020-09-13 10:31:13 startup archives install
2020-09-13 10:31:13 install base-files:arm64 <none> 11ubuntu5
2020-09-13 10:31:13 status half-installed base-files:arm64 11ubuntu5
2020-09-13 10:31:13 status unpacked base-files:arm64 11ubuntu5
2020-09-13 10:31:13 configure base-files:arm64 11ubuntu5 11ubuntu5
2020-09-13 10:31:13 status half-configured base-files:arm64 11ubuntu5
2020-09-13 10:31:17 status installed base-files:arm64 11ubuntu5
2020-09-13 10:31:17 startup archives install
2020-09-13 10:31:17 upgrade dpkg 1.19.7ubuntu3 1.19.7ubuntu3
2020-09-13 10:31:17 status half-configured dpkg 1.19.7ubuntu3
2020-09-13 10:31:17 status unpacked dpkg 1.19.7ubuntu3
2020-09-13 10:31:17 status half-installed dpkg 1.19.7ubuntu3
2020-09-13 10:31:18 status unpacked dpkg:arm64 1.19.7ubuntu3
2020-09-13 10:31:18 configure dpkg:arm64 1.19.7ubuntu3 1.19.7ubuntu3
2020-09-13 10:31:18 status half-configured dpkg:arm64 1.19.7ubuntu3
2020-09-13 10:31:18 status installed dpkg:arm64 1.19.7ubuntu3
2020-09-13 10:31:18 startup archives install
2020-09-13 10:31:19 install libc6:arm64 <none> 2.31-0ubuntu9
2020-09-13 10:31:19 status half-installed libc6:arm64 2.31-0ubuntu9
2020-09-13 10:31:21 status unpacked libc6:arm64 2.31-0ubuntu9
2020-09-13 10:31:21 configure libc6:arm64 2.31-0ubuntu9 2.31-0ubuntu9
2020-09-13 10:31:21 status half-configured libc6:arm64 2.31-0ubuntu9
2020-09-13 10:31:22 status installed libc6:arm64 2.31-0ubuntu9
2020-09-13 10:31:22 startup archives install
2020-09-13 10:31:22 install perl-base:arm64 <none> 5.30.0-9build1
2020-09-13 10:31:22 status half-installed perl-base:arm64 5.30.0-9build1
2020-09-13 10:31:24 status unpacked perl-base:arm64 5.30.0-9build1
2020-09-13 10:31:24 configure perl-base:arm64 5.30.0-9build1 5.30.0-9build1
2020-09-13 10:31:24 status half-configured perl-base:arm64 5.30.0-9build1
2020-09-13 10:31:24 status installed perl-base:arm64 5.30.0-9build1
2020-09-13 10:31:24 startup archives install
2020-09-13 10:31:24 install mawk:arm64 <none> 1.3.4.20200120-2
2020-09-13 10:31:24 status half-installed mawk:arm64 1.3.4.20200120-2
2020-09-13 10:31:24 status unpacked mawk:arm64 1.3.4.20200120-2
2020-09-13 10:31:24 configure mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2020-09-13 10:31:24 status half-configured mawk:arm64 1.3.4.20200120-2
2020-09-13 10:31:24 status installed mawk:arm64 1.3.4.20200120-2
2020-09-13 10:31:25 startup archives unpack
2020-09-13 10:31:25 upgrade base-files:arm64 11ubuntu5 11ubuntu5
2020-09-13 10:31:25 status half-configured base-files:arm64 11ubuntu5
2020-09-13 10:31:25 status unpacked base-files:arm64 11ubuntu5
2020-09-13 10:31:25 status half-installed base-files:arm64 11ubuntu5
2020-09-13 10:31:25 status unpacked base-files:arm64 11ubuntu5
2020-09-13 10:31:25 upgrade base-passwd:arm64 3.5.47 3.5.47
2020-09-13 10:31:25 status half-configured base-passwd:arm64 3.5.47
2020-09-13 10:31:25 status unpacked base-passwd:arm64 3.5.47
2020-09-13 10:31:25 status half-installed base-passwd:arm64 3.5.47
2020-09-13 10:31:26 status unpacked base-passwd:arm64 3.5.47
2020-09-13 10:31:26 install bash:arm64 <none> 5.0-6ubuntu1
2020-09-13 10:31:26 status half-installed bash:arm64 5.0-6ubuntu1
2020-09-13 10:31:26 status unpacked bash:arm64 5.0-6ubuntu1
2020-09-13 10:31:26 install bsdutils:arm64 <none> 1:2.34-0.1ubuntu9
2020-09-13 10:31:26 status half-installed bsdutils:arm64 1:2.34-0.1ubuntu9
2020-09-13 10:31:26 status unpacked bsdutils:arm64 1:2.34-0.1ubuntu9
2020-09-13 10:31:27 install coreutils:arm64 <none> 8.30-3ubuntu2
2020-09-13 10:31:27 status half-installed coreutils:arm64 8.30-3ubuntu2
2020-09-13 10:31:27 status unpacked coreutils:arm64 8.30-3ubuntu2
2020-09-13 10:31:27 install dash:arm64 <none> 0.5.10.2-6
2020-09-13 10:31:27 status half-installed dash:arm64 0.5.10.2-6
2020-09-13 10:31:27 status unpacked dash:arm64 0.5.10.2-6
2020-09-13 10:31:28 install debconf:all <none> 1.5.73
2020-09-13 10:31:28 status half-installed debconf:all 1.5.73
2020-09-13 10:31:28 status unpacked debconf:all 1.5.73
2020-09-13 10:31:28 install debianutils:arm64 <none> 4.9.1
2020-09-13 10:31:28 status half-installed debianutils:arm64 4.9.1
2020-09-13 10:31:28 status unpacked debianutils:arm64 4.9.1
2020-09-13 10:31:29 install diffutils:arm64 <none> 1:3.7-3
2020-09-13 10:31:29 status half-installed diffutils:arm64 1:3.7-3
2020-09-13 10:31:29 status unpacked diffutils:arm64 1:3.7-3
